Stock market proxy (CRPS NYSE, Amex and Nasdaq value-weighted index of all listed shares - value weighted daily return)
DATE,vwretd
1951-02-23,0.002512
1951-02-24,0.002102
1951-02-26,-0.000357
1951-02-27,-0.008548
1951-02-28,0.001509
1951-03-01,0.003391
1951-03-02,0.004197
1951-03-03,-0.000261
1951-03-05,-0.005561
1951-03-06,-0.002040
1951-03-07,0.003996
1951-03-08,0.003399
1951-03-09,0.000682
1951-03-10,-0.001939
1951-03-12,-0.009800
1951-03-13,-0.015783
1951-03-14,-0.008611
1951-03-15,0.001233
1951-03-16,0.016342
1951-03-17,0.002197
1951-03-19,-0.005532
1951-03-20,-0.001520
1951-03-21,0.005850
1951-03-22,0.003271
1951-03-24,-0.010864
1951-03-26,0.000815
1951-03-27,0.000604
1951-03-28,-0.011214
1951-03-29,0.002534
1951-03-30,0.006228
1951-03-31,-0.002557
1951-04-02,-0.005354
1951-04-03,-0.002121
1951-04-04,0.004677
1951-04-05,0.014153
1951-04-06,0.003659
1951-04-07,-0.000827
1951-04-09,0.000499
1951-04-10,-0.001883
1951-04-11,-0.001568
1951-04-12,0.009941
1951-04-13,0.013071
1951-04-14,0.003993
1951-04-16,-0.005145
1951-04-17,0.001576
1951-04-18,0.003649
1951-04-19,-0.004521
1951-04-20,-0.000635
1951-04-21,0.000233
1951-04-23,-0.000184
1951-04-24,-0.004526
1951-04-25,0.001451
1951-04-26,0.008971
1951-04-27,0.009072
1951-04-28,0.001747
1951-04-30,-0.000315
1951-05-01,0.003164
1951-05-02,0.002852
1951-05-03,0.007360
1951-05-04,0.000463
1951-05-05,-0.002821
1951-05-07,-0.002083
1951-05-08,0.003479
1951-05-09,0.002347
1951-05-10,-0.004983
1951-05-11,-0.005332
1951-05-12,-0.005655
1951-05-14,-0.000877
1951-05-15,-0.015281
1951-05-16,-0.002889
1951-05-17,0.009713
1951-05-18,-0.015906
1951-05-19,0.000718
1951-05-21,-0.004229
1951-05-22,-0.003231
1951-05-23,-0.006476
1951-05-24,-0.004163
1951-05-25,0.001138
1951-05-26,0.001838
1951-05-28,0.005265
1951-05-29,0.007399
1951-05-31,0.005806
1951-06-01,-0.001381
1951-06-04,-0.009843
1951-06-05,0.001938
1951-06-06,0.009033
1951-06-07,0.005053
1951-06-08,-0.001930
1951-06-11,0.005070
1951-06-12,-0.004129
1951-06-13,0.000806
1951-06-14,0.009638
1951-06-15,0.006677
1951-06-18,-0.000452
1951-06-19,-0.001172
1951-06-20,-0.004432
1951-06-21,-0.005580
1951-06-22,-0.007970
1951-06-25,-0.015513
1951-06-26,0.002545
1951-06-27,0.004556
1951-06-28,-0.010894
1951-06-29,-0.007398
1951-07-02,0.006028
1951-07-03,0.007309
1951-07-05,0.015841
1951-07-06,0.000084
1951-07-09,0.002310
1951-07-10,-0.003648
1951-07-11,0.002294
1951-07-12,0.004412
1951-07-13,0.006985
1951-07-16,-0.007302
1951-07-17,0.006522
1951-07-18,-0.000346
1951-07-19,0.000794
1951-07-20,0.001699
1951-07-23,0.008357
1951-07-24,0.012098
1951-07-25,-0.001704
1951-07-26,0.005151
1951-07-27,0.002941
1951-07-30,0.006046
1951-07-31,-0.006207
1951-08-01,0.006598
1951-08-02,0.010405
1951-08-03,0.001631
1951-08-06,0.006700
1951-08-07,-0.000195
1951-08-08,-0.001742
1951-08-09,-0.003521
1951-08-10,-0.001727
1951-08-13,0.001249
1951-08-14,-0.000764
1951-08-15,0.003997
1951-08-16,0.005276
1951-08-17,0.002914
1951-08-20,-0.000594
1951-08-21,-0.003678
1951-08-22,-0.004682
1951-08-23,0.006359
1951-08-24,0.000480
1951-08-27,-0.001424
1951-08-28,0.001259
1951-08-29,0.008094
1951-08-30,0.006667
1951-08-31,0.001120
1951-09-04,0.000955
1951-09-05,0.007685
1951-09-06,0.003428
1951-09-07,0.004354
1951-09-10,0.004287
1951-09-11,-0.004536
1951-09-12,0.006412
1951-09-13,0.003318
1951-09-14,-0.000358
1951-09-17,-0.003032
1951-09-18,-0.001032
1951-09-19,0.000906
1951-09-20,-0.001375
1951-09-21,-0.007460
1951-09-24,-0.004787
1951-09-25,0.003649
1951-09-26,0.001659
1951-09-27,-0.004567
1951-09-28,-0.000324
1951-10-01,0.006401
1951-10-02,0.007193
1951-10-03,0.006181
1951-10-04,-0.001518
1951-10-05,0.001491
1951-10-06,0.000240
1951-10-08,-0.000971
1951-10-09,-0.004749
1951-10-10,-0.002311
1951-10-11,0.004597
1951-10-13,0.002792
1951-10-15,0.001954
1951-10-16,-0.004194
1951-10-17,-0.002728
1951-10-18,-0.001220
1951-10-19,-0.013680
1951-10-20,-0.008971
1951-10-22,-0.018199
1951-10-23,0.006683
1951-10-24,0.007273
1951-10-25,-0.004672
1951-10-26,-0.007209
1951-10-27,-0.015959
1951-10-29,0.008924
1951-10-30,0.000197
1951-10-31,0.010245
1951-11-01,0.006562
1951-11-02,-0.007452
1951-11-03,-0.008551
1951-11-05,0.000726
1951-11-07,-0.008513
1951-11-08,0.002050
1951-11-09,0.011302
1951-11-10,0.004936
1951-11-13,-0.001716
1951-11-14,0.002618
1951-11-15,-0.000478
1951-11-16,-0.001060
1951-11-17,0.000374
1951-11-19,-0.003638
1951-11-20,-0.001934
1951-11-21,-0.000689
1951-11-23,-0.010501
1951-11-24,-0.003762
1951-11-26,0.005887
1951-11-27,0.007949
1951-11-28,-0.001215
1951-11-29,0.004214
1951-11-30,0.009526
1951-12-01,0.002587
1951-12-03,0.003255
1951-12-04,0.004230
1951-12-05,0.000515
1951-12-06,0.009726
1951-12-07,0.002219
1951-12-08,0.001232
1951-12-10,0.000134
1951-12-11,-0.004991
1951-12-12,0.001276
1951-12-13,0.002934
1951-12-14,-0.000278
1951-12-15,-0.000391
1951-12-17,0.001429
1951-12-18,0.001150
1951-12-19,0.002939
1951-12-20,0.000151
1951-12-21,-0.002065
1951-12-22,0.000012
1951-12-24,-0.000338
1951-12-26,-0.006154
1951-12-27,0.008575
1951-12-28,0.004498
1951-12-29,-0.000308
1951-12-31,0.002628
1952-01-02,0.001654
1952-01-03,0.001463
1952-01-04,0.001926
1952-01-05,0.000808
1952-01-07,-0.001416
1952-01-08,-0.004413
1952-01-09,-0.002770
1952-01-10,0.006206
1952-01-11,0.004426
1952-01-12,0.004299
1952-01-14,0.001985
1952-01-15,-0.004428
1952-01-16,0.003209
1952-01-17,0.004231
1952-01-18,0.001837
1952-01-19,0.002927
1952-01-21,0.004143
1952-01-22,0.004939
1952-01-23,-0.003547
