Stock market proxy (CRPS NYSE, Amex and Nasdaq value-weighted index of all listed shares - value weighted daily return)
DATE,vwretd
2006-04-18,0.017368
2006-04-19,0.004286
2006-04-20,-0.000820
2006-04-21,0.000196
2006-04-24,-0.002941
2006-04-25,-0.004011
2006-04-26,0.002145
2006-04-27,0.001845
2006-04-28,0.001336
2006-05-01,-0.003281
2006-05-02,0.006042
2006-05-03,-0.003151
2006-05-04,0.003972
2006-05-05,0.010548
2006-05-08,-0.000123
2006-05-09,0.000884
2006-05-10,-0.001461
2006-05-11,-0.013542
2006-05-12,-0.012833
2006-05-15,-0.001102
2006-05-16,-0.001033
2006-05-17,-0.017065
2006-05-18,-0.007167
2006-05-19,0.004179
2006-05-22,-0.006254
2006-05-23,-0.003447
2006-05-24,-0.000251
2006-05-25,0.013911
2006-05-26,0.006310
2006-05-30,-0.015230
2006-05-31,0.009340
2006-06-01,0.012579
2006-06-02,0.002584
2006-06-05,-0.018875
2006-06-06,-0.003566
2006-06-07,-0.006568
2006-06-08,-0.001106
2006-06-09,-0.003265
2006-06-12,-0.014845
2006-06-13,-0.013068
2006-06-14,0.005104
2006-06-15,0.023848
2006-06-16,-0.004451
2006-06-19,-0.010177
2006-06-20,-0.000519
2006-06-21,0.011788
2006-06-22,-0.004869
2006-06-23,0.000926
2006-06-26,0.005543
2006-06-27,-0.009672
2006-06-28,0.004934
2006-06-29,0.023620
2006-06-30,0.001016
2006-07-03,0.007911
2006-07-05,-0.008493
2006-07-06,0.002202
2006-07-07,-0.007512
2006-07-10,0.000428
2006-07-11,0.004158
2006-07-12,-0.010938
2006-07-13,-0.014147
2006-07-14,-0.005289
2006-07-17,-0.003578
2006-07-18,0.001632
2006-07-19,0.019847
2006-07-20,-0.011008
2006-07-21,-0.008937
2006-07-24,0.017719
2006-07-25,0.007591
2006-07-26,0.000335
2006-07-27,-0.005474
2006-07-28,0.013051
2006-07-31,-0.000515
2006-08-01,-0.005261
2006-08-02,0.006701
2006-08-03,0.002366
2006-08-04,-0.001169
2006-08-07,-0.003005
2006-08-08,-0.003901
2006-08-09,-0.004165
2006-08-10,0.003936
2006-08-11,-0.004552
2006-08-14,0.000695
2006-08-15,0.014926
2006-08-16,0.009373
2006-08-17,0.001454
2006-08-18,0.002968
2006-08-21,-0.003124
2006-08-22,0.001258
2006-08-23,-0.005159
2006-08-24,0.001257
2006-08-25,-0.000292
2006-08-28,0.005565
2006-08-29,0.003015
2006-08-30,0.001335
2006-08-31,0.000892
2006-09-01,0.005059
2006-09-05,0.002570
2006-09-06,-0.011468
2006-09-07,-0.005378
2006-09-08,0.002437
2006-09-11,-0.001584
2006-09-12,0.011411
2006-09-13,0.005111
2006-09-14,-0.002190
2006-09-15,0.002145
2006-09-18,0.001524
2006-09-19,-0.003259
2006-09-20,0.005183
2006-09-21,-0.004423
2006-09-22,-0.003776
2006-09-25,0.007915
2006-09-26,0.007254
2006-09-27,0.002109
2006-09-28,0.001863
2006-09-29,-0.002990
2006-10-02,-0.003890
2006-10-03,-0.000401
2006-10-04,0.012363
2006-10-05,0.005072
2006-10-06,-0.003112
2006-10-09,0.002159
2006-10-10,0.002247
2006-10-11,-0.003595
2006-10-12,0.010567
2006-10-13,0.003346
2006-10-16,0.004362
2006-10-17,-0.004576
2006-10-18,0.001011
2006-10-19,0.002379
2006-10-20,-0.000425
2006-10-23,0.005418
2006-10-24,0.000818
2006-10-25,0.004353
2006-10-26,0.006477
2006-10-27,-0.008193
2006-10-30,0.000333
2006-10-31,0.000053
2006-11-01,-0.008999
2006-11-02,-0.000135
2006-11-03,-0.000312
2006-11-06,0.011518
2006-11-07,0.001818
2006-11-08,0.003357
2006-11-09,-0.004640
2006-11-10,0.002155
2006-11-13,0.002257
2006-11-14,0.006933
2006-11-15,0.004008
2006-11-16,0.001138
2006-11-17,0.000214
2006-11-20,0.000481
2006-11-21,0.003124
2006-11-22,0.003000
2006-11-24,-0.001904
2006-11-27,-0.014745
2006-11-28,0.003038
2006-11-29,0.009670
2006-11-30,0.001694
2006-12-01,-0.002826
2006-12-04,0.009992
2006-12-05,0.003862
2006-12-06,-0.001081
2006-12-07,-0.003428
2006-12-08,0.001159
2006-12-11,0.001969
2006-12-12,-0.002021
2006-12-13,0.001191
2006-12-14,0.007678
2006-12-15,0.000016
2006-12-18,-0.004988
2006-12-19,0.001873
2006-12-20,-0.000615
2006-12-21,-0.003813
2006-12-22,-0.004549
2006-12-26,0.004335
2006-12-27,0.007793
2006-12-28,-0.001042
2006-12-29,-0.004516
2007-01-03,-0.001338
2007-01-04,0.000549
2007-01-05,-0.007297
2007-01-08,0.002568
2007-01-09,0.000006
2007-01-10,0.002093
2007-01-11,0.007322
2007-01-12,0.006142
2007-01-16,0.000297
2007-01-17,-0.000608
2007-01-18,-0.004686
2007-01-19,0.004348
2007-01-22,-0.005379
2007-01-23,0.005216
2007-01-24,0.008798
2007-01-25,-0.010735
2007-01-26,0.000090
2007-01-29,0.000150
2007-01-30,0.005761
2007-01-31,0.006358
2007-02-01,0.006258
2007-02-02,0.001257
2007-02-05,-0.000608
2007-02-06,0.001509
2007-02-07,0.002194
2007-02-08,-0.000426
2007-02-09,-0.006912
2007-02-12,-0.003886
2007-02-13,0.008049
2007-02-14,0.007231
2007-02-15,0.001732
2007-02-16,0.000511
2007-02-20,0.003573
2007-02-21,-0.000293
2007-02-22,-0.000379
2007-02-23,-0.002574
2007-02-26,-0.001268
2007-02-27,-0.034119
2007-02-28,0.004744
2007-03-01,-0.002843
2007-03-02,-0.012476
2007-03-05,-0.012010
2007-03-06,0.016740
2007-03-07,-0.001349
2007-03-08,0.007245
2007-03-09,0.001632
2007-03-12,0.003138
2007-03-13,-0.020154
2007-03-14,0.005427
2007-03-15,0.004778
2007-03-16,-0.003606
2007-03-19,0.011056
2007-03-20,0.006794
2007-03-21,0.016761
2007-03-22,-0.000141
2007-03-23,0.001713
2007-03-26,0.000555
2007-03-27,-0.005696
2007-03-28,-0.007002
2007-03-29,0.003513
2007-03-30,-0.000365
2007-04-02,0.003037
2007-04-03,0.008915
2007-04-04,0.001478
2007-04-05,0.003628
2007-04-09,0.000584
2007-04-10,0.002692
2007-04-11,-0.005864
2007-04-12,0.006386
2007-04-13,0.003735
2007-04-16,0.010487
2007-04-17,0.001030
2007-04-18,0.000311
2007-04-19,-0.002812
2007-04-20,0.009344
2007-04-23,-0.001728
2007-04-24,-0.000741
2007-04-25,0.009470
2007-04-26,-0.000595
2007-04-27,-0.000789
2007-04-30,-0.009282
2007-05-01,0.001749
2007-05-02,0.008276
2007-05-03,0.003886
2007-05-04,0.002895
2007-05-07,0.002600
2007-05-08,-0.001403
2007-05-09,0.003691
2007-05-10,-0.013744
2007-05-11,0.010361
2007-05-14,-0.002703
2007-05-15,-0.001860
2007-05-16,0.007337
2007-05-17,-0.000512
2007-05-18,0.006785
2007-05-21,0.003249
2007-05-22,0.000937
2007-05-23,-0.000932
2007-05-24,-0.011308
2007-05-25,0.006387
2007-05-29,0.003050
2007-05-30,0.008239
2007-05-31,0.001606
2007-06-01,0.005135
2007-06-04,0.002104
2007-06-05,-0.005316
2007-06-06,-0.009360
2007-06-07,-0.018105
2007-06-08,0.010780
2007-06-11,0.001116
2007-06-12,-0.010821
2007-06-13,0.014158
2007-06-14,0.005360
2007-06-15,0.007418
2007-06-18,-0.000898
2007-06-19,0.001782
2007-06-20,-0.012706
2007-06-21,0.005398
2007-06-22,-0.010740
2007-06-25,-0.004829
2007-06-26,-0.004021
2007-06-27,0.009350
2007-06-28,0.000736
2007-06-29,-0.000739
2007-07-02,0.011414
2007-07-03,0.003443
2007-07-05,0.001215
2007-07-06,0.004468
2007-07-09,0.001553
2007-07-10,-0.013593
2007-07-11,0.005071
2007-07-12,0.017514
2007-07-13,0.003170
2007-07-16,-0.003056
2007-07-17,-0.000064
2007-07-18,-0.001562
2007-07-19,0.004847
2007-07-20,-0.011679
2007-07-23,0.003035
2007-07-24,-0.020135
2007-07-25,0.002672
2007-07-26,-0.023859
2007-07-27,-0.014757
2007-07-30,0.009317
2007-07-31,-0.010143
2007-08-01,0.004114
2007-08-02,0.005966
2007-08-03,-0.025944
2007-08-06,0.018013
2007-08-07,0.006577
2007-08-08,0.015606
2007-08-09,-0.026888
2007-08-10,-0.000469
2007-08-13,-0.000555
2007-08-14,-0.019068
2007-08-15,-0.015670
2007-08-16,0.001849
2007-08-17,0.024410
2007-08-20,0.001614
2007-08-21,0.002145
2007-08-22,0.013032
2007-08-23,-0.001611
2007-08-24,0.012342
2007-08-27,-0.008307
2007-08-28,-0.023434
2007-08-29,0.021811
2007-08-30,-0.003810
2007-08-31,0.012299
2007-09-04,0.011092
2007-09-05,-0.010081
2007-09-06,0.004420
2007-09-07,-0.016224
2007-09-10,-0.002909
2007-09-11,0.013507
2007-09-12,0.000216
2007-09-13,0.007386
2007-09-14,0.001266
2007-09-17,-0.005816
2007-09-18,0.029282
2007-09-19,0.005785
2007-09-20,-0.005199
2007-09-21,0.004909
2007-09-24,-0.004467
2007-09-25,-0.000433
2007-09-26,0.005497
2007-09-27,0.005356
2007-09-28,-0.002684
2007-10-01,0.013730
2007-10-02,0.000505
2007-10-03,-0.005146
2007-10-04,0.002714
2007-10-05,0.011823
2007-10-08,-0.003018
2007-10-09,0.008034
2007-10-10,-0.000231
2007-10-11,-0.005186
2007-10-12,0.005326
2007-10-15,-0.008594
2007-10-16,-0.007019
2007-10-17,0.002874
2007-10-18,0.000420
2007-10-19,-0.024591
2007-10-22,0.003280
2007-10-23,0.010240
2007-10-24,-0.003240
2007-10-25,-0.001014
2007-10-26,0.013813
2007-10-29,0.005375
2007-10-30,-0.006892
2007-10-31,0.013188
2007-11-01,-0.025887
2007-11-02,0.002063
2007-11-05,-0.006631
2007-11-06,0.012829
2007-11-07,-0.026880
2007-11-08,-0.000584
2007-11-09,-0.015044
2007-11-12,-0.014034
2007-11-13,0.027892
2007-11-14,-0.005799
2007-11-15,-0.014097
2007-11-16,0.004588
2007-11-19,-0.018698
2007-11-20,0.003988
2007-11-21,-0.015274
2007-11-23,0.016333
2007-11-26,-0.020441
2007-11-27,0.012176
2007-11-28,0.029412
2007-11-29,-0.000339
2007-11-30,0.007109
2007-12-03,-0.005527
2007-12-04,-0.007229
2007-12-05,0.014447
2007-12-06,0.015710
2007-12-07,-0.000210
2007-12-10,0.007767
2007-12-11,-0.025421
2007-12-12,0.005673
2007-12-13,-0.000994
2007-12-14,-0.013436
2007-12-17,-0.016014
2007-12-18,0.006433
2007-12-19,-0.000322
2007-12-20,0.006285
2007-12-21,0.017143
2007-12-24,0.009125
2007-12-26,0.001511
2007-12-27,-0.013539
2007-12-28,0.002045
2007-12-31,-0.006516
2008-01-02,-0.011818
2008-01-03,-0.000953
2008-01-04,-0.025688
2008-01-07,0.000185
2008-01-08,-0.017053
2008-01-09,0.009987
2008-01-10,0.008434
2008-01-11,-0.013919
2008-01-14,0.010459
2008-01-15,-0.024754
2008-01-16,-0.006665
2008-01-17,-0.027744
2008-01-18,-0.005560
2008-01-22,-0.009421
2008-01-23,0.019784
2008-01-24,0.012578
2008-01-25,-0.012957
2008-01-28,0.017161
2008-01-29,0.006401
2008-01-30,-0.005359
2008-01-31,0.014960
2008-02-01,0.016003
2008-02-04,-0.008995
2008-02-05,-0.030848
2008-02-06,-0.008001
2008-02-07,0.007713
2008-02-08,-0.002069
2008-02-11,0.005789
2008-02-12,0.006264
2008-02-13,0.014377
2008-02-14,-0.013217
2008-02-15,-0.000457
2008-02-19,0.000611
2008-02-20,0.008875
2008-02-21,-0.011826
2008-02-22,0.006783
2008-02-25,0.015093
2008-02-26,0.008250
2008-02-27,-0.000760
2008-02-28,-0.007712
2008-02-29,-0.026162
2008-03-03,-0.000440
2008-03-04,-0.004797
2008-03-05,0.006941
2008-03-06,-0.022033
2008-03-07,-0.008764
2008-03-10,-0.018223
2008-03-11,0.035783
2008-03-12,-0.007002
2008-03-13,0.007295
2008-03-14,-0.020005
2008-03-17,-0.014947
2008-03-18,0.039596
2008-03-19,-0.026077
2008-03-20,0.021232
2008-03-24,0.017603
2008-03-25,0.005737
2008-03-26,-0.006417
2008-03-27,-0.010149
2008-03-28,-0.007963
2008-03-31,0.005316
2008-04-01,0.032159
2008-04-02,0.000356
2008-04-03,0.002689
2008-04-04,0.001956
2008-04-07,0.001709
2008-04-08,-0.003187
2008-04-09,-0.009015
2008-04-10,0.005600
2008-04-11,-0.019553
2008-04-14,-0.002547
2008-04-15,0.005102
2008-04-16,0.024171
2008-04-17,-0.001209
2008-04-18,0.016587
2008-04-21,-0.000549
2008-04-22,-0.009247
2008-04-23,0.001109
2008-04-24,0.005093
2008-04-25,0.006936
2008-04-28,0.000288
2008-04-29,-0.005660
2008-04-30,-0.001543
2008-05-01,0.014565
2008-05-02,0.003265
2008-05-05,-0.002623
2008-05-06,0.008434
2008-05-07,-0.015892
2008-05-08,0.004607
2008-05-09,-0.004564
2008-05-12,0.011008
2008-05-13,0.000777
2008-05-14,0.003042
2008-05-15,0.011160
2008-05-16,0.002444
2008-05-19,-0.000218
2008-05-20,-0.005979
2008-05-21,-0.015336
2008-05-22,0.002913
2008-05-23,-0.011537
2008-05-27,0.004890
2008-05-28,0.005731
2008-05-29,0.004398
2008-05-30,0.003259
2008-06-02,-0.008973
2008-06-03,-0.004849
2008-06-04,-0.000875
2008-06-05,0.020267
2008-06-06,-0.026706
2008-06-09,-0.000595
2008-06-10,-0.005030
2008-06-11,-0.015201
2008-06-12,0.001469
2008-06-13,0.014706
2008-06-16,0.003269
2008-06-17,-0.003948
2008-06-18,-0.008270
2008-06-19,0.002404
2008-06-20,-0.017501
2008-06-23,-0.000861
2008-06-24,-0.006232
2008-06-25,0.006273
2008-06-26,-0.026181
2008-06-27,-0.002492
2008-06-30,-0.001020
2008-07-01,0.001815
2008-07-02,-0.020998
2008-07-03,-0.002418
2008-07-07,-0.008580
2008-07-08,0.017020
2008-07-09,-0.019383
2008-07-10,0.007644
2008-07-11,-0.008282
2008-07-14,-0.008231
2008-07-15,-0.011492
2008-07-16,0.024079
2008-07-17,0.009662
2008-07-18,0.000317
2008-07-21,0.003991
2008-07-22,0.011136
2008-07-23,0.001831
2008-07-24,-0.024336
2008-07-25,0.005552
2008-07-28,-0.016515
2008-07-29,0.021268
2008-07-30,0.016480
2008-07-31,-0.011726
2008-08-01,-0.005172
2008-08-04,-0.013381
2008-08-05,0.024519
2008-08-06,0.005716
2008-08-07,-0.016834
2008-08-08,0.019189
2008-08-11,0.006653
2008-08-12,-0.009640
2008-08-13,-0.000114
2008-08-14,0.005112
2008-08-15,0.001349
2008-08-18,-0.013401
2008-08-19,-0.008881
2008-08-20,0.006869
2008-08-21,0.003188
2008-08-22,0.009527
2008-08-25,-0.018552
2008-08-26,0.003558
2008-08-27,0.009602
2008-08-28,0.014314
2008-08-29,-0.011672
2008-09-02,-0.007020
2008-09-03,-0.002974
2008-09-04,-0.028947
2008-09-05,0.003865
2008-09-08,0.014831
2008-09-09,-0.034997
2008-09-10,0.008558
2008-09-11,0.010959
2008-09-12,0.005355
2008-09-15,-0.045694
2008-09-16,0.015211
2008-09-17,-0.045480
2008-09-18,0.044149
2008-09-19,0.046130
2008-09-22,-0.036822
2008-09-23,-0.015606
2008-09-24,-0.003261
2008-09-25,0.016536
2008-09-26,-0.001974
2008-09-29,-0.082622
2008-09-30,0.046630
2008-10-01,-0.005703
2008-10-02,-0.045669
2008-10-03,-0.014310
2008-10-06,-0.042386
2008-10-07,-0.057971
2008-10-08,-0.011662
2008-10-09,-0.072777
2008-10-10,-0.012027
2008-10-13,0.114918
2008-10-14,-0.009039
2008-10-15,-0.089818
2008-10-16,0.039640
2008-10-17,-0.002514
2008-10-20,0.046511
2008-10-21,-0.031528
2008-10-22,-0.059158
2008-10-23,0.000863
2008-10-24,-0.033427
2008-10-27,-0.036965
2008-10-28,0.095343
2008-10-29,0.001444
2008-10-30,0.031975
2008-10-31,0.018105
2008-11-03,-0.000641
2008-11-04,0.039047
2008-11-05,-0.050732
2008-11-06,-0.049131
2008-11-07,0.026437
2008-11-10,-0.013354
2008-11-11,-0.024377
2008-11-12,-0.053637
2008-11-13,0.068028
2008-11-14,-0.043682
2008-11-17,-0.023999
2008-11-18,0.005702
2008-11-19,-0.063961
2008-11-20,-0.070115
2008-11-21,0.061122
2008-11-24,0.066174
2008-11-25,0.009671
2008-11-26,0.038407
2008-11-28,0.010100
2008-12-01,-0.089406
2008-12-02,0.037723
2008-12-03,0.024009
2008-12-04,-0.030146
2008-12-05,0.036150
2008-12-08,0.040442
2008-12-09,-0.022388
2008-12-10,0.015166
2008-12-11,-0.029891
2008-12-12,0.010480
2008-12-15,-0.013872
2008-12-16,0.052898
2008-12-17,-0.004826
2008-12-18,-0.020525
2008-12-19,0.003924
2008-12-22,-0.019157
2008-12-23,-0.007592
2008-12-24,0.004521
2008-12-26,0.007194
2008-12-29,-0.004360
2008-12-30,0.024797
2008-12-31,0.017414
2009-01-02,0.030510
2009-01-05,-0.000600
2009-01-06,0.011304
2009-01-07,-0.030514
2009-01-08,0.006280
2009-01-09,-0.022413
2009-01-12,-0.025568
2009-01-13,0.003519
2009-01-14,-0.035213
2009-01-15,0.004642
2009-01-16,0.008418
2009-01-20,-0.055325
2009-01-21,0.043230
2009-01-22,-0.018234
2009-01-23,0.006850
2009-01-26,0.006103
2009-01-27,0.011298
2009-01-28,0.033821
2009-01-29,-0.032865
2009-01-30,-0.020762
2009-02-02,-0.001062
2009-02-03,0.014347
2009-02-04,-0.004421
2009-02-05,0.015561
2009-02-06,0.027958
2009-02-09,0.001231
2009-02-10,-0.046016
2009-02-11,0.007331
2009-02-12,0.002613
2009-02-13,-0.008813
2009-02-17,-0.045276
2009-02-18,-0.003754
2009-02-19,-0.011181
2009-02-20,-0.011754
2009-02-23,-0.036170
2009-02-24,0.040235
2009-02-25,-0.010685
2009-02-26,-0.012138
2009-02-27,-0.019064
2009-03-02,-0.049821
2009-03-03,-0.006348
2009-03-04,0.025915
2009-03-05,-0.041860
2009-03-06,0.001621
2009-03-09,-0.011377
2009-03-10,0.063422
2009-03-11,0.004072
2009-03-12,0.041933
2009-03-13,0.006023
2009-03-16,-0.004804
2009-03-17,0.031034
2009-03-18,0.022385
2009-03-19,-0.008012
2009-03-20,-0.020275
2009-03-23,0.069105
2009-03-24,-0.019974
2009-03-25,0.009027
2009-03-26,0.025297
2009-03-27,-0.021626
2009-03-30,-0.036280
2009-03-31,0.014267
2009-04-01,0.017239
2009-04-02,0.031761
2009-04-03,0.011627
2009-04-06,-0.009808
2009-04-07,-0.024674
2009-04-08,0.013138
2009-04-09,0.039518
2009-04-13,0.003955
2009-04-14,-0.019520
2009-04-15,0.012453
2009-04-16,0.016078
2009-04-17,0.006012
2009-04-20,-0.044786
2009-04-21,0.022800
2009-04-22,-0.005681
2009-04-23,0.009211
2009-04-24,0.018978
2009-04-27,-0.011404
2009-04-28,-0.002835
2009-04-29,0.024540
2009-04-30,-0.000430
2009-05-01,0.005987
2009-05-04,0.035889
2009-05-05,-0.003448
2009-05-06,0.016053
2009-05-07,-0.015484
2009-05-08,0.027335
2009-05-11,-0.020759
2009-05-12,-0.002677
2009-05-13,-0.031176
2009-05-14,0.012419
2009-05-15,-0.010650
2009-05-18,0.033054
2009-05-19,0.000466
2009-05-20,-0.001755
2009-05-21,-0.016571
2009-05-22,-0.000103
2009-05-26,0.028135
2009-05-27,-0.017294
2009-05-28,0.015059
2009-05-29,0.014740
2009-06-01,0.027052
2009-06-02,0.003122
2009-06-03,-0.017238
2009-06-04,0.013645
2009-06-05,-0.003123
2009-06-08,-0.002646
2009-06-09,0.005508
2009-06-10,-0.002825
2009-06-11,0.007230
2009-06-12,-0.001361
2009-06-15,-0.025446
2009-06-16,-0.013130
2009-06-17,-0.003046
2009-06-18,0.006605
2009-06-19,0.004131
2009-06-22,-0.033191
2009-06-23,0.002281
2009-06-24,0.008957
2009-06-25,0.021607
2009-06-26,0.000918
2009-06-29,0.007681
2009-06-30,-0.007744
2009-07-01,0.006075
2009-07-02,-0.028164
2009-07-06,-0.001715
2009-07-07,-0.019566
2009-07-08,-0.003674
2009-07-09,0.004887
2009-07-10,-0.003400
2009-07-13,0.023959
2009-07-14,0.007242
2009-07-15,0.031167
2009-07-16,0.009462
2009-07-17,-0.000100
2009-07-20,0.013517
2009-07-21,0.002507
2009-07-22,0.000626
2009-07-23,0.024248
2009-07-24,0.004318
2009-07-27,0.003428
2009-07-28,-0.003760
2009-07-29,-0.006496
2009-07-30,0.013405
2009-07-31,0.002687
2009-08-03,0.017978
2009-08-04,0.002512
2009-08-05,-0.002058
2009-08-06,-0.007500
2009-08-07,0.013329
2009-08-10,-0.004378
2009-08-11,-0.013741
2009-08-12,0.012282
2009-08-13,0.008382
2009-08-14,-0.010026
2009-08-17,-0.026025
2009-08-18,0.012018
2009-08-19,0.006913
2009-08-20,0.010693
2009-08-21,0.018217
2009-08-24,-0.000860
2009-08-25,0.002744
2009-08-26,-0.000795
2009-08-27,0.003060
2009-08-28,-0.001408
2009-08-31,-0.009184
2009-09-01,-0.021972
2009-09-02,-0.002627
2009-09-03,0.010726
2009-09-04,0.014000
2009-09-08,0.010437
2009-09-09,0.007804
2009-09-10,0.011127
2009-09-11,0.000072
2009-09-14,0.006409
2009-09-15,0.006161
2009-09-16,0.016251
2009-09-17,-0.003713
2009-09-18,0.001851
2009-09-21,-0.004265
2009-09-22,0.008567
2009-09-23,-0.010386
2009-09-24,-0.012689
2009-09-25,-0.006367
2009-09-28,0.017970
2009-09-29,-0.001059
2009-09-30,-0.002862
2009-10-01,-0.027110
2009-10-02,-0.005280
2009-10-05,0.016024
2009-10-06,0.014541
2009-10-07,0.003057
2009-10-08,0.009684
2009-10-09,0.005240
2009-10-12,0.003864
2009-10-13,-0.001931
2009-10-14,0.017853
2009-10-15,0.002388
2009-10-16,-0.008156
2009-10-19,0.009989
2009-10-20,-0.007955
2009-10-21,-0.008387
2009-10-22,0.010145
2009-10-23,-0.012745
2009-10-26,-0.013211
2009-10-27,-0.006312
2009-10-28,-0.023878
2009-10-29,0.023841
2009-10-30,-0.027998
2009-11-02,0.005094
2009-11-03,0.005758
2009-11-04,0.000887
2009-11-05,0.019376
2009-11-06,0.001559
2009-11-09,0.023285
2009-11-10,-0.000683
2009-11-11,0.005488
2009-11-12,-0.011725
2009-11-13,0.006830
2009-11-16,0.015600
2009-11-17,0.001234
2009-11-18,-0.000955
2009-11-19,-0.014033
2009-11-20,-0.003935
2009-11-23,0.012969
2009-11-24,-0.001315
2009-11-25,0.005831
2009-11-27,-0.018568
2009-11-30,0.003952
2009-12-01,0.014001
2009-12-02,0.002350
2009-12-03,-0.008827
2009-12-04,0.005376
2009-12-07,-0.001596
2009-12-08,-0.010591
2009-12-09,0.003547
2009-12-10,0.005297
2009-12-11,0.003163
2009-12-14,0.008485
2009-12-15,-0.004616
2009-12-16,0.003319
2009-12-17,-0.012564
2009-12-18,0.006076
2009-12-21,0.009765
2009-12-22,0.004612
2009-12-23,0.004734
2009-12-24,0.005243
2009-12-28,0.000985
2009-12-29,-0.000929
2009-12-30,-0.000670
2009-12-31,-0.008656
2010-01-04,0.017123
2010-01-05,0.003374
2010-01-06,0.002046
2010-01-07,0.002860
2010-01-08,0.004173
2010-01-11,0.001141
2010-01-12,-0.010995
2010-01-13,0.008636
2010-01-14,0.002307
2010-01-15,-0.011325
2010-01-19,0.012057
2010-01-20,-0.011076
2010-01-21,-0.017773
2010-01-22,-0.021001
2010-01-25,0.003901
2010-01-26,-0.004922
2010-01-27,0.004186
2010-01-28,-0.011333
2010-01-29,-0.010301
2010-02-01,0.015111
2010-02-02,0.012229
2010-02-03,-0.004982
2010-02-04,-0.031982
2010-02-05,0.002652
2010-02-08,-0.008235
2010-02-09,0.013880
2010-02-10,-0.001476
2010-02-11,0.012086
2010-02-12,-0.000652
2010-02-16,0.017979
2010-02-17,0.004659
2010-02-18,0.006192
2010-02-19,0.002459
2010-02-22,-0.001114
2010-02-23,-0.013085
2010-02-24,0.008534
2010-02-25,-0.000709
2010-02-26,0.001843
2010-03-01,0.011987
2010-03-02,0.004423
2010-03-03,0.001605
2010-03-04,0.003100
2010-03-05,0.014507
2010-03-08,0.000714
2010-03-09,0.001653
2010-03-10,0.005048
2010-03-11,0.003968
2010-03-12,0.000759
2010-03-15,-0.000684
2010-03-16,0.008745
2010-03-17,0.005613
2010-03-18,-0.002034
2010-03-19,-0.006911
2010-03-22,0.005863
2010-03-23,0.007665
2010-03-24,-0.006621
2010-03-25,-0.002437
2010-03-26,0.000678
2010-03-29,0.006797
2010-03-30,0.000458
2010-03-31,-0.002766
2010-04-01,0.008641
2010-04-05,0.009547
2010-04-06,0.002121
2010-04-07,-0.005367
2010-04-08,0.002831
2010-04-09,0.006704
2010-04-12,0.001771
2010-04-13,0.000740
2010-04-14,0.012332
2010-04-15,0.000089
2010-04-16,-0.016121
2010-04-19,0.002261
2010-04-20,0.009813
2010-04-21,-0.000540
2010-04-22,0.003577
2010-04-23,0.007444
2010-04-26,-0.003232
2010-04-27,-0.023848
2010-04-28,0.005240
2010-04-29,0.013643
2010-04-30,-0.016839
2010-05-03,0.012859
2010-05-04,-0.025371
2010-05-05,-0.009209
2010-05-06,-0.032542
2010-05-07,-0.015859
2010-05-10,0.044920
2010-05-11,-0.000949
2010-05-12,0.016269
2010-05-13,-0.010837
2010-05-14,-0.019413
2010-05-17,-0.000579
2010-05-18,-0.013644
2010-05-19,-0.007142
2010-05-20,-0.040377
2010-05-21,0.015298
2010-05-24,-0.012043
2010-05-25,-0.000159
2010-05-26,-0.002863
2010-05-27,0.035093
2010-05-28,-0.011760
2010-06-01,-0.018508
2010-06-02,0.026567
2010-06-03,0.004783
2010-06-04,-0.035862
2010-06-07,-0.014029
2010-06-08,0.009235
2010-06-09,-0.003825
2010-06-10,0.029517
2010-06-11,0.006194
2010-06-14,0.000013
2010-06-15,0.023852
2010-06-16,-0.001219
2010-06-17,0.000896
2010-06-18,0.001710
2010-06-21,-0.004309
2010-06-22,-0.016156
2010-06-23,-0.002917
2010-06-24,-0.016272
2010-06-25,0.006060
2010-06-28,-0.003129
2010-06-29,-0.032886
2010-06-30,-0.008948
2010-07-01,-0.003930
2010-07-02,-0.004749
2010-07-06,0.003316
2010-07-07,0.030890
2010-07-08,0.009561
2010-07-09,0.008916
2010-07-12,-0.001350
2010-07-13,0.017213
2010-07-14,-0.000642
2010-07-15,0.000415
2010-07-16,-0.028543
2010-07-19,0.004999
2010-07-20,0.012639
2010-07-21,-0.012835
2010-07-22,0.023576
2010-07-23,0.009631
2010-07-26,0.011615
2010-07-27,-0.002540
2010-07-28,-0.007459
2010-07-29,-0.002589
2010-07-30,0.001513
2010-08-02,0.020555
2010-08-03,-0.005157
2010-08-04,0.007461
2010-08-05,-0.002496
2010-08-06,-0.003549
2010-08-09,0.005856
2010-08-10,-0.007992
2010-08-11,-0.029230
2010-08-12,-0.004674
2010-08-13,-0.003874
2010-08-16,0.001455
2010-08-17,0.013886
2010-08-18,0.002330
2010-08-19,-0.016704
2010-08-20,-0.003305
2010-08-23,-0.004861
2010-08-24,-0.014445
2010-08-25,0.004577
2010-08-26,-0.006625
2010-08-27,0.018433
2010-08-30,-0.014218
2010-08-31,0.000119
2010-09-01,0.029106
2010-09-02,0.009547
2010-09-03,0.012980
2010-09-07,-0.011863
2010-09-08,0.006330
2010-09-09,0.003763
2010-09-10,0.004477
2010-09-13,0.012869
2010-09-14,-0.000108
2010-09-15,0.002952
2010-09-16,-0.000750
2010-09-17,0.001128
2010-09-20,0.015179
2010-09-21,-0.003097
2010-09-22,-0.005023
2010-09-23,-0.008117
2010-09-24,0.021202
